food_id	food_name
005630	Peperoni, rossi, crudi
005634	Peperoni, rossi, cotti, al microonde
005640	Peperoni, verdi, crudi
005650	Porri, crudi
005655	Porri, cotti, bolliti
005660	Rape, crude
005665	Rape, cotte, bollite
005670	Ravanelli, freschi
005680	Sedano, crudo
005684	Sedano, cotto, al microonde
005690	Sedano rapa, crudo
005700	Spinaci, crudi
005704	Spinaci, cotti, al microonde
005705	Spinaci, cotti, bolliti
005710	Spinaci, surgelati
005720	Zucca gialla, fresca
005730	Zucchine, crude
005735	Zucchine, cotte, bollite
005740	Zucchine, chiare
005741	Zucchine chiare, cotte, al vapore
005742	Zucchine chiare, cotte, in padella grigliate
005744	Zucchine, chiare, cotte, al microonde
005750	Zucchine, scure, crude
005751	Zucchine, scure, cotte, al vapore
005752	Zucchine, scure, cotte, in padella grigliate
005754	Zucchine, scure, cotte, al microonde
006000	Funghi coltivati, prataioli, crudi
006006	Funghi coltivati, prataioli, cotti, in padella
006010	Funghi coltivati, pleurotes, crudi
006016	Funghi coltivati, pleurotes, cotti, in padella
006020	Funghi ovuli, crudi
006030	Funghi porcini, crudi
006200	Tartufo, nero
006500	Patate, crude
006505	Patate, con buccia, cotte, bollite
006511	Patate, cotte, arrosto
006514	Patate, cotte, al microonde
006515	Patate, senza buccia, cotte, bollite
006517	Patate, fritte
006570	Patatine, fritte, confezionate in busta
006580	Patate novelle, crude
006584	Patate novelle, cotte, al microonde
006585	Patate novelle, cotte, bollte
006590	Gnocchi di patate, crudi
006591	Gnocchi di patate, cotti
006596	Topinambur, cotto, bollito
006600	Pomodori, da insalata, freschi
006610	Pomodori, maturi, freschi
006620	Pomodori, San Marzano, freschi
006630	Pomodori, Nerina, verdi, freschi
006640	Pomodori, Nerina, rossi, freschi
006650	Pomodorini ciliegino, freschi
006660	Pomodori, conserva
006670	Pomodori, passata
006680	Pomodori, pelati in scatola
006690	Pomodori, succo
006800	Basilico, fresco
006810	Menta, fresca
006820	Pepe nero
006830	Peperoncini piccanti, freschi
006840	Prezzemolo, fresco
006850	Rosmarino, fresco
006860	Salvia, fresco
006990	Vegetali misti, surgelati
007000	Albicocche, fresche
007010	Albicocche, disidratate
007020	Albicocche, sciroppate
007030	Albicocche, secche
007040	Cocomero, fresco
007050	Fichi, freschi
007053	Fichi, seccati al forno e mandorlati
007060	Fichi, canditi
007070	Fichi, secchi
007080	Fichi d'india, freschi
007090	Loti o kaki, freschi
007100	Melagrane, fresche
007110	Mele, fresche, senza buccia
007120	Mele, fresche, con buccia
007130	Mele, fresche, annurche
007140	Mele, fresche, deliziose
007150	Mele, fresche, golden
007160	Mele, fresche, granny smith
007170	Mele, fresche, imperatore
007180	Mele, fresche, renette
007190	Mele, disidratate
007220	Mele cotogne, fresche
007230	Melone, d'estate, fresco
007240	Melone, d'inverno, fresco
007250	Nespole, fresche
007260	Pere, fresche, senza buccia
007261	Pere, fresche, Abate Fetel
007262	Pere, fresche, Coscia
007263	Pere, fresche, Kaiser
007264	Pere, fresche, Max
007265	Pere, fresche, William
007270	Pere, candite
007280	Pesche, fresche, senza buccia
007290	Pesche, fresche, con buccia
007300	Pesche, disidratate
007310	Pesche, sciroppate
007320	Pesche, secche
007330	Peschenoci, fresche
007340	Prugne, fresche
007350	Prugne, gialle
007360	Prugne, rosse
007370	Prugne, secche
007380	Uva, fresca
007390	Uva, bianca, fresca
007400	Uva, nera, fresca
007410	Uva, secca
007420	Uva, succo, in cartone
007460	Ananas, fresco
007470	Ananas, sciroppato
007480	Anona, fresca
007490	Avocado, fresco
007500	Babaco, fresco
007510	Banane, fresche
007520	Cocco, fresco
007530	Cocco, essiccato
007550	Feijoa, fresca
007560	Guava, fresca
007570	Kiwi, freschi
007580	Litchi, freschi
007590	Mango, fresco
007600	Papaia, fresca
007610	Passiflora, fresca
007630	Datteri, secchi
007700	Amarene, fresche
007710	Ciliege, fresche
007720	Ciliege, candite
007730	Fragole, fresche
007740	Lamponi, freschi
007750	Mora di rovo
007760	Mirtilli, freschi
007770	Ribes, freschi
008000	Arance, fresche
008001	Arance bionde, fresche
008002	Arance Valencia, fresche
008003	Arance Washington Navel, fresche
008004	Arance rosse, fresche
008005	Arance Moro, fresche
008006	Arance Sanguinello, fresche
008007	Arance Tarocco, fresche
008010	Arance succo, fresco
008011	Arance bionde succo, fresco
008012	Arance rosse succo, fresco
008020	Clementine, fresche
008030	Limoni, freschi
008040	Limoni, succo
008050	Mandaranci, freschi
008060	Mandarini, freschi
008070	Pompelmo, fresco
008500	Arachidi, tostate
008510	Carrube
008520	Castagne
008521	Castagne, arrostite
008525	Castagne, bollite
008530	Castagne, secche
008540	Mandorle dolci, secche
008550	Nocciole, secche
008560	Noci
008570	Noci, secche
008580	Noci pecan
008590	Pinoli
008600	Pistacchi
008605	Pistacchio di Bronte DOP
008610	Anacardi
008620	Macadamia
008800	Olive da tavola conservate
008810	Olive, nere
008820	Olive, verdi
008830	Olive, verdi, in salamoia
008840	Oliva  Nocellara del Belice
008850	Oliva Giarraffa
008930	Succo di frutta
008940	Cocktail di frutta sciroppata
009010	Burro d'arachidi
009100	Margarina, 100% vegetale
009110	Margarina, 2/3 di grassi animali, 1/3 di grassi vegetali
009200	Olio di oliva
009210	Olio di oliva extra vergine
009610	Olio di arachide
009620	Olio di cocco
009630	Olio di colza
009640	Olio di germe di grano
009650	Olio di girasole
009660	Olio di mais
009670	Olio di mandorle dolci
009680	Olio di palma
009690	Olio di sesamo
009700	Olio di soia
009710	Olio di vinacciolo
009799	Oli vegetali
101120	Bovino adulto o vitellone, tagli anteriori, crudo
101130	Bovino adulto o vitellone, tagli posteriori, crudo
101150	Bovino adulto o vitellone, costata, crudo
101160	Bovino adulto o vitellone, fesa, crudo
101170	Bovino adulto o vitellone, filetto, crudo
101180	Bovino adulto o vitellone, girello, crudo
101190	Bovino adulto o vitellone, lombata, crudo
101200	Bovino adulto o vitellone, noce, crudo
101210	Bovino adulto o vitellone, scamone, crudo
101220	Bovino adulto o vitellone, sottofesa, crudo
101230	Bovino adulto o vitellone, copertina di sotto, copertina di spalla, sottospalla e collo, crudo
101240	Bovino adulto o vitellone, geretto anteriore e posteriore, crudo
101250	Bovino adulto o vitellone, pancia, biancostato e punta di petto, crudo
101260	Bovino adulto o vitellone, spalla, muscolo, girello e fesone, crudo
101520	Vitello, filetto, crudo
101521	Vitello, filetto, cotto in padella
102000	Bufalo, solo tessuto muscolare, crudo
103010	Cavallo, tessuto muscolare e grasso, crudo
103020	Cavallo, solo tessuto muscolare, crudo
104020	Agnello, crudo
104029	Agnello, cotto, al forno
104030	Agnello, coscio, crudo
104033	Agnello, coscio, cotto, al forno
104040	Agnello, costoletta, crudo
104043	Agnello, costoletta, cotto, al forno
104250	Capra, solo tessuto muscolare, crudo
104300	Capretto, crudo
104610	Pecora, solo tessuto muscolare, crudo
105200	Maiale, coscio, crudo
105210	Maiale, lombo, crudo
105220	Maiale, spalla, crudo
105230	Maiale, bistecca, crudo
105236	Maiale, bistecca, cotto, in padella
105600	Maiale, pesante, coscio, crudo
105700	Maiale, pesante, lombo, crudo
105800	Maiale, pesante, spalla, crudo
106010	Anatra domestica, crudo
106020	Faraona, coscio, con pelle, crudo
106030	Faraona, coscio, senza pelle, crudo
106032	Faraona, coscio, senza pelle, cotto, allo spiedo
106050	Faraona, petto, senza pelle, crudo
106052	Faraona, petto, senza pelle, cotto, allo spiedo
106100	Gallina, crudo
106150	Oca, crudo
106200	Pollo, intero, con pelle, crudo
106203	Pollo, intero, con pelle, cotto, al forno
106210	Pollo, intero, senza pelle, crudo
106213	Pollo, intero, senza pelle, cotto, al forno
106251	Pollo, intero, con pelle, cotto, arrosto
106261	Pollo, intero, senza pelle, cotto, arrosto
106270	Pollo, ala, con pelle, crudo
106273	Pollo, ala, con pelle, cotta, al forno
106400	Pollo, fuso, con pelle, crudo
106403	Pollo, fuso, con pelle, cotto, al forno
106410	Pollo, fuso, senza pelle, crudo
106413	Pollo, fuso, senza pelle, cotto, al forno
106500	Pollo, petto, crudo
106506	Pollo, petto, cotto, in padella
106600	Pollo, sovracoscio, con pelle, crudo
106603	Pollo, sovracoscio, con pelle, cotto, al forno
106610	Pollo, sovracoscio, senza pelle, crudo
106613	Pollo, sovracoscio, senza pelle, cotto, al forno
106700	Tacchino intero, con pelle, crudo
106710	Tacchino intero, senza pelle, crudo
106719	Tacchino intero, senza pelle, cotto, al forno
106800	Tacchino, coscio, con pelle, crudo
106850	Tacchino, fesa, crudo
106856	Tacchino, fesa, cotta, al forno
106900	Tacchino, fuso, con pelle, crudo
106903	Tacchino, fuso, con pelle, cotto, al forno
106910	Tacchino, fuso, senza pelle, crudo
106913	Tacchino, fuso, senza pelle, cotto, al forno
106960	Tacchino, sovracoscio, senza pelle, crudo
106963	Tacchino, sovracoscio, senza pelle, cotto, al forno
107010	Coniglio intero, crudo
107019	Coniglio, intero, cotto
107020	Coniglio, intero surgelato, crudo
107030	Coniglio, coscio, crudo
108010	Cervo, solo tessuto muscolare, crudo
108100	Daino, solo tessuto muscolare, crudo
108510	Fagiano, crudo
108520	Piccione giovane, crudo
108530	Quaglia, crudo
108900	Struzzo, solo tessuto muscolare, crudo
108901	Struzzo, solo tessuto muscolare, cotto, al forno
109010	Lumaca, cruda
109510	Rana, crudo
110020	Bresaola della Valtellina IGP
110100	Capocollo
110110	Capocollo di Calabria
110130	Ciccioli
110150	Coppa
110190	Cotechino, confezionato precotto
110195	Cotechino Modena IGP, cotto
110200	Mortadella Bologna IGP
110210	Mortadella di bovini e suini
110300	Pancetta magretta
110310	Pancetta tesa
110320	Pancetta arrotolata
110400	Prosciutto cotto
110401	Prosciutto cotto, sgrassato
110410	Prosciutto cotto, alta qualità
110411	Prosciutto cotto, alta qualità, sgrassato
110420	Prosciutto cotto, scelto
110421	Prosciutto cotto, scelto,  sgrassato
110500	Prosciutto crudo, di Modena DOP
110501	Prosciutto crudo, di Modena DOP, sgrassato
110505	Prosciutto crudo di montagna
110510	Prosciutto crudo DOP, di Parma
110511	Prosciutto crudo, di Parma DOP, sgrassato
110515	Prosciutto crudo, di Pietraroja
110520	Prosciutto crudo, di San Daniele DOP
110521	Prosciutto crudo, di San Daniele DOP, sgrassato
110525	Prosciutto crudo, disossato
110526	Prosciutto crudo, disossato, sgrassato
110530	Prosciutto crudo, gambuccio
110535	Prosciutto crudo, Nazionale
110536	Prosciutto crudo, Nazionale,  sgrassato
110600	Salame Brianza
110610	Salami italiani alla cacciatora DOP
110620	Salame Fabriano
110630	Salame Felino
110640	Salame Milano
110650	Salame Napoli
110660	Salame nostrano
110670	Salame ungherese
110700	Salsiccia di fegato
110710	Salsiccia di suino, fresca
110716	Salsiccia di suino, fresca, cotta, in padella
110720	Salsiccia di suino, secca
110730	Salsiccia di Calabria
110740	Soppressata di Calabria
110800	Speck dell'Alto Adige IGP
110900	Wurstel di puro suino, crudo
110906	Wurstel di puro suino, cotto
110950	Zampone confezionato, precotto
110955	Zampone Modena IGP, cotto
113010	Carne bovina in gelatina, in scatola
113020	Carne bovina pressata, in scatola
114010	Patè di coniglio
114020	Patè di fegato
114030	Patè di pollo
114040	Patè di prosciutto
115010	Animelle di bovini
115019	Animelle di bovini, cotte
115110	Cervello di bovini
115120	Coratella di agnello
115130	Coratella di vitello
115210	Cuore di bovini
115219	Cuore di bovini, cotto
115220	Cuore di equini
115230	Cuore di ovini
115240	Cuore di pollo
115249	Cuore di pollo, cotto
115250	Cuore di suino
115260	Cuore di tacchino
115269	Cuore di tacchino, cotto
115320	Fegato di bovini
115329	Fegato di bovini, cotto
115340	Fegato di equini
115350	Fegato di ovini
115360	Fegato di pollo
115369	Fegato di pollo, cotto
115370	Fegato di suini
115379	Fegato di suini, cotto
115380	Fegato di tacchino
115389	Fegato di tacchino, cotto
115400	Lingua di bovini
115409	Lingua di bovini, cotta, fritta
115500	Milza di bovini
115600	Polmone di bovini
115710	Rene di bovini
115800	Trippa di bovini
119020	Cheese burger, fast food
119030	Hamburger, fast food
119040	Chicken Nuggets, fast food
119050	Hamburger piccolo, solo carne, fast food
119060	Panino, fast food
119070	Panino con hamburger piccolo, fast food
119080	Patatine, fritte, fast food
120010	Acciuga o alice
120020	Acciuga o alice, sott'olio
120030	Acciuga o alice, sotto sale
120210	Anguilla, affumicata
120220	Anguilla, marinata
120230	Anguilla di fiume
120240	Anguilla di mare
120250	Anguilla d'allevamento, filetti
120290	Capitone
120300	Aringa
120310	Aringa, affumicata
120320	Aringa, marinata
120330	Aringa, sotto sale
120400	Boga
120500	Carpa
120510	Cefalo muggine
120590	Bottarga, cefalo muggine
120610	Cernia surgelata
120710	Coregone
120810	Corvina
120910	Dentice
120920	Dentice, surgelato
121010	Halibut
121100	Lattarini
121200	Luccio
121310	Melù o pesce molo
121320	Melù o pesce molo, stoccafisso, secco
121330	Melù o pesce molo, stoccafisso, ammollato
121410	Merluzzo o nasello
121420	Merluzzo o nasello, surgelato
121423	Merluzzo o nasello, surgelato, cotto, in forno
121424	Merluzzo o nasello, surgelato, cotto, al microonde
121430	Merluzzo o nasello, surgelato, filetti
121440	Merluzzo o nasello, baccalà, secco
121450	Merluzzo o nasello, baccalà, ammollato
121490	Merluzzo o nasello, bastoncini di pesce, surgelati
121500	Mormora
121600	Occhiata
121710	Orata, surgelata
121720	Orata fresca, filetti
121730	Orata fresca d'allevamento, filetti
121800	Pagello
121900	Pagello bocca d'oro
122000	Palombo
122100	Pesce gatto
122200	Razza
122300	Rombo
122400	Salmone, fresco
122410	Salmone, affumicato
122430	Salmone, in salamoia
122500	Salpa
122600	Sarago
122700	Sarda
122800	Sardine
122806	Sardine, fritte
122900	Scorfano
123000	Sgombro o maccarello
123010	Sgombro o maccarello, in salamoia
123100	Sogliola
123110	Sogliola, surgelata
123200	Spigola
123220	Spigola d'allevamento, filetti
123300	Storione
123390	Caviale, storione
123400	Tinca
123500	Tonno
123550	Tonno in salamoia, sgocciolato
123610	Tonno sott'olio, sgocciolato
123900	Triglia
124000	Trota
124010	Trota surgelata
124013	Trota surgelata, cotta, al microonde
124014	Trota surgelata, cotta, in forno
124050	Trota iridea d'allevamento, filetti
124100	Suro o sugarello
127100	Calamaro
127110	Calamaro surgelato
127120	Cozza o mitilo
127130	Ostrica
127150	Polpo
127160	Seppia
127170	Vongola
128050	Aragosta
128055	Aragosta, bollita
128100	Gamberi
128110	Gamberi sgusciati, surgelati
128200	Granchio, in scatola
130010	Latte di capra
131010	Latte di pecora
132010	Latte di bufala
135010	Latte di vacca, pastorizzato, intero
135020	Latte di vacca, pastorizzato, parzialmente scremato
135030	Latte di vacca, pastorizzato, scremato
135510	Latte di vacca, condensato, zuccherato
135520	Latte di vacca, evaporato, non zuccherato
135610	Latte di vacca, in polvere, intero
135620	Latte di vacca, in polvere, parzialmente scremato
135630	Latte di vacca, in polvere, scremato
135810	Latte di vacca, UHT, intero
135820	Latte di vacca, UHT, parzialmente scremato
140100	Crema di latte, 12% di lipidi
140300	Panna da montare, 35% di lipidi
140400	Panna da cucina, sterilizzata, 23% di lipidi
150010	Yogurt, da latte intero
150015	Yogurt, 0% lipidi
150020	Yogurt greco, da latte intero
150025	Yogurt greco, da latte magro, alla frutta
150030	Yogurt greco, 0% lipidi
150035	Yogurt greco, 0% lipidi, aromatizzato
150500	Yogurt da latte intero, alla frutta
151000	Yogurt da latte, parzialmente scremato
152000	Yogurt da latte, scremato
158000	Yogurt caprino
160400	Formaggio molle da tavola
160410	Brie
160420	Burrini
160430	Butirro calabro
160800	Caciocavallo
160810	Cacioricotta di capra
160820	Caciotta mista
160830	Caciotta romana di pecora
160840	Caciotta toscana
160850	Caciottina vaccina
160860	Caciottina fresca
160870	Camembert
160880	Cheddar
160890	Crescenza
161200	Dolce verde
161600	Edam
161610	Emmenthal
162000	Feta
162010	Fior di latte
162020	Fontina
162030	Formaggino
162040	Formaggino con ridotto contenuto di grasso
162050	Formaggio cremoso spalmabile
162400	Gorgonzola
